标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,CPU系列,CPU主频,最高睿频,三级缓存,插槽类型,核心数量,线程数,制作工艺,热设计功耗(TDP),动态加速频率,封装大小
Intel 酷睿i5 10400,1180,1809.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059513800794.html,https://2f.zol-img.com.cn/product/223_320x240/195/ceOicxTWpderQ.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：2.9GHz
最高睿频：4.3GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,2.9GHz,4.3GHz,12MB,LGA 1200,六核心,十二线程,,,,
AMD Ryzen 5 3600,1199,1239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10036373067007.html,https://2a.zol-img.com.cn/product/220_320x240/308/cebVMjCuiTkCc.png,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.6GHz
动态加速频率：4.2GHz
三级缓存：32MB
插槽类型：Socket AM4
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 3000,3.6GHz,,32MB,Socket AM4,六核心,十二线程,,,4.2GHz,
AMD Ryzen 5 3400G,1210,,,https://2c.zol-img.com.cn/product/222_320x240/300/cepyJuoejlfSY.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 3000
CPU主频：3.7GHz
动态加速频率：4.2GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：四核心
线程数：八线程",台式机,AMD Ryzen 5 3000,3.7GHz,,暂无数据,Socket AM4,四核心,八线程,,,4.2GHz,
Intel 酷睿 i5 12400F,1210,839.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100031035610.html,https://2c.zol-img.com.cn/product/220_320x240/648/ceCLWjtv5tp4o.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：2.5GHz
最高睿频：4.4GHz
三级缓存：18MB
插槽类型：LGA 1700
核心数量：暂无数据
线程数：暂无数据",台式机,酷睿i5 12代系列,2.5GHz,4.4GHz,18MB,LGA 1700,暂无数据,暂无数据,,,,
Intel 酷睿i5 10600KF,1230,540.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10095958250567.html,https://2c.zol-img.com.cn/product/223_320x240/222/ceV89qm9CqEJE.jpg,"适用类型：台式机
CPU系列：酷睿i5 10代系列
CPU主频：4.1GHz
最高睿频：4.8GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 10代系列,4.1GHz,4.8GHz,12MB,LGA 1200,六核心,十二线程,,,,
AMD Ryzen 5 7500F,1239,919.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/68482227543.html,https://2d.zol-img.com.cn/product/250_320x240/663/ceOPUAPfYhg1E.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 7000系列
CPU主频：3.7GHz
最高睿频：5GHz
三级缓存：32MB
插槽类型：Socket AM5
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 7000系列,3.7GHz,5GHz,32MB,Socket AM5,六核心,十二线程,,,,
Intel 酷睿 i5 12490F,1280,739.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100037299996.html,https://2f.zol-img.com.cn/product/222_320x240/777/ceTanyqNhSNU.jpg,"适用类型：台式机
CPU系列：酷睿i5 12代系列
CPU主频：3GHz
最高睿频：4.6GHz
三级缓存：20MB
插槽类型：LGA 1700
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 12代系列,3GHz,4.6GHz,20MB,LGA 1700,六核心,十二线程,,,,
Intel 酷睿i3 9100,1299,,,https://2c.zol-img.com.cn/product/221_320x240/484/ceKjPukxYZ8.jpg,"适用类型：台式机
CPU系列：酷睿i3 9代系列
CPU主频：3.6GHz
最高睿频：4.2GHz
三级缓存：6MB
插槽类型：LGA 1151
核心数量：四核心
线程数：四线程",台式机,酷睿i3 9代系列,3.6GHz,4.2GHz,6MB,LGA 1151,四核心,四线程,,,,
Intel 酷睿i5 9600KF,1299,,,https://2e.zol-img.com.cn/product/221_320x240/30/ce0zby8ivJE0E.jpg,"适用类型：台式机
CPU系列：酷睿i5 9代系列
CPU主频：3.7GHz
最高睿频：4.6GHz
三级缓存：9MB
插槽类型：LGA 1151
核心数量：六核心
线程数：六线程",台式机,酷睿i5 9代系列,3.7GHz,4.6GHz,9MB,LGA 1151,六核心,六线程,,,,
Intel 酷睿i5 11400,1359,,,https://2f.zol-img.com.cn/product/221_320x240/95/ceonrkAfm7lFo.jpg,"适用类型：台式机
CPU系列：酷睿i5 11代系列
CPU主频：2.6GHz
最高睿频：4.4GHz
三级缓存：12MB
插槽类型：LGA 1200
核心数量：六核心
线程数：十二线程",台式机,酷睿i5 11代系列,2.6GHz,4.4GHz,12MB,LGA 1200,六核心,十二线程,,,,
AMD Ryzen 5 5600,1359,559.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059568992326.html,https://2b.zol-img.com.cn/product/218_320x240/753/cepwqsh6FLpUY.jpg,"适用类型：台式机
CPU系列：AMD Ryzen 5 5000
CPU主频：3.5GHz
动态加速频率：4.4GHz
插槽类型：Socket AM4
三级缓存：暂无数据
核心数量：六核心
线程数：十二线程",台式机,AMD Ryzen 5 5000,3.5GHz,,暂无数据,Socket AM4,六核心,十二线程,,,4.4GHz,
