标题,参考价,京东价,京东链接,产品图片,产品参数
半岛铁盒战戟PSR450,104,99.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100114714499.html,https://2e.zol-img.com.cn/product/270_320x240/356/ceTq2FxPSuZY.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
先马破坏神450,106,,,https://2e.zol-img.com.cn/product/185_320x240/424/ceqCaEfOvf5Y.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
世纪之星CS6,108,,,https://2f.zol-img.com.cn/product/197_320x240/57/cen0f5HFDlXIE.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：280W
最大功率：420W
主板接口：24pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
全汉FSP270-60LE,108,323.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10103232962914.html,https://2f.zol-img.com.cn/product/253_320x240/649/ceqYmiK2rpgbE.jpg,"电源类型：台式机电源
出线类型：全模组电源
额定功率：200W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：暂无数据
转换效率：暂无数据"
先马刺客430,109,,,https://2b.zol-img.com.cn/product/112_320x240/851/cezlN5IJZ6U6U.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：74%"
金达游戏引擎 S6 400W,109,,,https://2b.zol-img.com.cn/product/200_320x240/799/ceQFLUulang2.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：暂无数据"
大水牛劲强250,109,,,https://2c.zol-img.com.cn/product/97_320x240/280/ce8pQ11RyN9tM.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：250W
最大功率：350W
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：70%"
先马破坏神500M,109,,,https://2a.zol-img.com.cn/product/185_320x240/390/cef7GJ3sHKVc.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：350W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
金河田智能芯480 GT版,109,,,https://2b.zol-img.com.cn/product/153_320x240/757/cehonhDVkuKIY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：400W
主板接口：20+4pin
硬盘接口：3个
PFC类型：暂无数据
转换效率：暂无数据"
金河田海象 400,109,,,https://2f.zol-img.com.cn/product/175_320x240/683/ceNM3dzLJQdgA.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：400W
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
金河田智能芯480GTX,109,,,https://2f.zol-img.com.cn/product/175_320x240/629/ce8kw9ASxOahU.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：400W
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
先马坦克400,109,,,https://2e.zol-img.com.cn/product/190_320x240/550/ce5b1EQhKt1cM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
半岛铁盒战狼T400,109,,,https://2a.zol-img.com.cn/product/206_320x240/114/ceC5mXy5cpgs.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：400W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：暂无数据"
大水牛船长RM450,109,97.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10024832649470.html,https://2e.zol-img.com.cn/product/199_320x240/184/ceSYNFHsTnvw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：350W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：72%"
大水牛劲强300京牛版,109,,,https://2e.zol-img.com.cn/product/87_320x240/62/cesw5EgAO2MA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：暂无数据
转换效率：暂无数据"
台速磐科T5-500,109,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10088789506701.html,https://2b.zol-img.com.cn/product/271_320x240/693/ceNrd9vys9oo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：250W
最大功率：500W
硬盘接口：2个
主板接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
先马领航550,109,,,https://2a.zol-img.com.cn/product/168_320x240/328/ceBhSwQdthngU.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：400W
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：暂无数据"
先马破坏神350,109,,,https://2b.zol-img.com.cn/product/199_320x240/203/ce1vQioGwdiA.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：200W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
金河田龙霸330W,109,,,https://2f.zol-img.com.cn/product/192_320x240/629/cekltdLdWocWk.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：330W
最大功率：430W
主板接口：20+4pin
硬盘接口：4个
PFC类型：暂无数据
转换效率：暂无数据"
赢派铠甲750,110,106.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10082744720790.html,https://2d.zol-img.com.cn/product/252_320x240/697/ceif0COp0ga8c.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：450W
最大功率：450W
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
大水牛宽V350,119,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10079113051912.html,https://2f.zol-img.com.cn/product/253_320x240/657/ceNaZhLw28ooY.png,"电源类型：台式机电源
出线类型：暂无数据
额定功率：250W
最大功率：暂无数据
硬盘接口：3个
主板接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
GAMEMAX GS-250,119,,,https://2a.zol-img.com.cn/product/253_320x240/814/ceZF9klvgLkF6.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：275W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
积至权力游戏750ws 标准,119,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10042105813187.html,https://2e.zol-img.com.cn/product/229_320x240/948/cecmdl51ckXPc.jpg,"电源类型：atx 电源
出线类型：全模组化
额定功率：550W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
转换效率：其他
PFC类型：暂无数据"
游戏帝国gs-275,119,,,https://2d.zol-img.com.cn/product/229_320x240/793/ce84BXb03sm3c.jpg,"电源类型：sfx 电源
出线类型：非模组化
额定功率：270W
最大功率：暂无数据
主板接口：20+4 pin
硬盘接口：暂无数据
转换效率：其他
PFC类型：暂无数据"
先马坦克430,119,,,https://2d.zol-img.com.cn/product/185_320x240/443/ceshZl4iU0F.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
世纪之星自由战士电源ZH7,119,,,https://2f.zol-img.com.cn/product/197_320x240/967/ceQAbdqiUOv2s.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：450W
主板接口：24pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
爱国者魔兽500,119,,,https://2b.zol-img.com.cn/product/161_320x240/725/ce2PQK8CG3dw.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
金河田省师傅4000,119,,,https://2f.zol-img.com.cn/product/102_320x240/701/cekuJFdJJwLZM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：暂无数据
转换效率：暂无数据"
鑫谷核动力 巡洋舰C5,119,,,https://2b.zol-img.com.cn/product/109_320x240/793/cet1WDNKjAc8A.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式
转换效率：暂无数据"
爱国者黑暗骑士470DK,119,,,https://2f.zol-img.com.cn/product/115_320x240/75/cehyOzkyRu6.jpg,"电源类型：台式机电源
出线类型：暂无数据
最大功率：470W
额定功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：被动式
转换效率：80%"
爱国者黑暗骑士450DK,119,,,https://2f.zol-img.com.cn/product/139_320x240/367/ceSDDiSJr7dNM.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：450W
主板接口：20+4pin
硬盘接口：5个
PFC类型：被动式
转换效率：75%"
半岛铁盒战戟PSR550,124,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100114714519.html,https://2c.zol-img.com.cn/product/270_320x240/342/ceHW9MvgJMZ.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式（功率因数为0.98）
转换效率：80%+"
大水牛PC180,125,124.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065371164154.html,https://2d.zol-img.com.cn/product/253_320x240/549/ceQnZ2UM9IEEc.jpg,"电源类型：台式机电源
出线类型：非模组化
额定功率：180W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：1个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
大水牛牛魔王500,125,107.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/61685084109.html,https://2d.zol-img.com.cn/product/253_320x240/569/cej2nppdohFbo.jpg,"电源类型：标准电源（atx）
出线类型：暂无数据
额定功率：400W
最大功率：暂无数据
硬盘接口：3个
主板接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
航嘉睿智330S,129,,,https://2d.zol-img.com.cn/product/200_320x240/831/ceu9LzvbNfLrA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：＞68%"
航嘉睿智330DS,129,,,https://2f.zol-img.com.cn/product/200_320x240/971/ceeo9Zwy8sTsU.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：＞68%"
长城网星ATX-3000+宽网版,129,,,https://2e.zol-img.com.cn/product/23_320x240/806/ceJ5WlOKncxHM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：300W
主板接口：20+4pin
硬盘接口：2个
PFC类型：暂无数据
转换效率：暂无数据"
超频三M8精品版,129,,,https://2b.zol-img.com.cn/product/197_320x240/219/ce6eq7pCxo8J6.jpg,"电源类型：小机箱电源
出线类型：非模组电源
额定功率：300W
最大功率：400W
硬盘接口：3个
主板接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
先马350M,129,,,https://2c.zol-img.com.cn/product/123_320x240/768/ce9eMI82ShnSo.jpg,"电源类型：小机箱电源
出线类型：非模组电源
额定功率：250W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：暂无数据"
金河田智能芯580 GT版,129,,,https://2b.zol-img.com.cn/product/223_320x240/977/cezmZzg8Qqt1Q.png,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：500W
主板接口：20+4pin
硬盘接口：4个
PFC类型：暂无数据
转换效率：暂无数据"
半岛铁盒战戟PSR650,129,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100114714501.html,https://2d.zol-img.com.cn/product/270_320x240/409/ceFbb5nEezWY.jpg,"电源类型：标准电源（atx）
出线类型：非模组化
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：主动式（功率因数为0.98）
转换效率：80%+"
ANTEC BP230 PRO IC,129,,,https://2d.zol-img.com.cn/product/190_320x240/995/ceZCuUdA8OmWM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：230W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：被动式（43×18mm）
转换效率：72%"
金河田战锤T490,129,,,https://2d.zol-img.com.cn/product/192_320x240/309/ceYbyD045ojPg.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：350W
最大功率：450W
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式
转换效率：85%"
金河田战刀480,129,,,https://2f.zol-img.com.cn/product/192_320x240/335/ce5B2iDg7awAg.jpg,"电源类型：台式机电源
出线类型：半模组电源
额定功率：300W
最大功率：400W
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
GAMEMAX VP-350,129,,,https://2a.zol-img.com.cn/product/219_320x240/614/ce6ikZ6EAfksY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：暂无数据
最大功率：暂无数据
主板接口：24pin
硬盘接口：2个
PFC类型：被动式
转换效率：None"
爱国者EN500,138,,,https://2e.zol-img.com.cn/product/271_320x240/872/ceWM6G05aB8Qs.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：500W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式（功率因数为0.99）
转换效率：暂无数据"
大水牛宽V400,139,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10079113051913.html,https://2f.zol-img.com.cn/product/253_320x240/657/ceNaZhLw28ooY.png,"电源类型：台式机电源
出线类型：暂无数据
额定功率：300W
最大功率：暂无数据
硬盘接口：3个
主板接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
先马赢派铠甲850,139,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10112554924392.html,https://2d.zol-img.com.cn/product/253_320x240/531/ce2cLVz5zSBdU.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：550W
最大功率：550W
主板接口：20+4pin
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
大水牛劲强400,139,124.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100004404298.html,https://2f.zol-img.com.cn/product/197_320x240/571/cew1fgC64xCA.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：3个
PFC类型：主动式（功率因数为0.98）
转换效率：80%"
首席玩家红玫瑰400W,139,,,https://2b.zol-img.com.cn/product/200_320x240/173/ceazX7ZvbHjzw.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：85%"
金河田海象 500,139,,,https://2a.zol-img.com.cn/product/175_320x240/678/ce4k1iwlaDMf.jpg,"电源类型：台式机电源
出线类型：暂无数据
额定功率：400W
最大功率：500W
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：暂无数据
转换效率：暂无数据"
金河田龙霸400W,139,,,https://2c.zol-img.com.cn/product/131_320x240/656/ceKKGD1hTKuo.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：500W
主板接口：20+4pin
硬盘接口：4个
PFC类型：暂无数据
转换效率：暂无数据"
积至全模组电竞（400W）,139,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/54060818804.html,https://2d.zol-img.com.cn/product/200_320x240/395/ceFPZvjzpmsYY.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式
转换效率：暂无数据"
迅钛GX 450,139,139.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121377481792.html,https://2b.zol-img.com.cn/product/271_320x240/19/ceEFc7TIxqaLg.jpg,"电源类型：标准电源（atx）
出线类型：非模组电源
额定功率：450W
最大功率：450W
主板接口：20+4pin
硬盘接口：6个
PFC类型：主动式（功率因数为0.98）
转换效率：暂无数据"
大水牛宽V400W京牛版,139,,,https://2f.zol-img.com.cn/product/34_320x240/803/ceA8YxVnbpRM.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：300W
最大功率：暂无数据
主板接口：暂无数据
硬盘接口：暂无数据
PFC类型：被动式
转换效率：暂无数据"
先马刺客530,139,,,https://2d.zol-img.com.cn/product/121_320x240/993/ceQ7Z67Fbn6OY.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：400W
最大功率：暂无数据
主板接口：20+4pin
硬盘接口：2个
PFC类型：被动式
转换效率：74%"
金河田战龙RX590,139,,,https://2f.zol-img.com.cn/product/192_320x240/915/cePlWZlSvwSs.jpg,"电源类型：台式机电源
出线类型：非模组电源
额定功率：450W
最大功率：550W
主板接口：20+4pin
硬盘接口：5个
PFC类型：主动式
转换效率：85%"
爱国者G3宽幅版,146,,,https://2a.zol-img.com.cn/product/192_320x240/574/ceQ7UVsvl1QYQ.jpg,"电源类型：台式机电源
出线类型：模组电源
额定功率：400W
最大功率：500W
主板接口：20+4pin
硬盘接口：4个
PFC类型：主动式
转换效率：80%"
