标题,品牌,系列,型号,参考价,京东价
Intel 酷睿 i7 12700KF,Intel,酷睿 i7,12700KF,￥2730,¥1404
Intel Xeon E 2234,Intel,Xeon E,2234,￥2780,
Intel 酷睿i7 8700K,Intel,酷睿i7,8700K,￥2799,¥3629
AMD Ryzen 7 5800X3D,AMD,Ryzen 7,5800X3D,￥2799,¥1679
AMD Ryzen 9 5900X,AMD,Ryzen 9,5900X,￥2800,
Intel 酷睿 i7 12700K,Intel,酷睿 i7,12700K,￥2830,¥1799
AMD Ryzen 7 9700X,AMD,Ryzen 7,9700X,￥2849,¥1859
Intel 酷睿i7 8700,Intel,酷睿i7,8700,￥2859,¥679
Intel 酷睿i7 7700,Intel,酷睿i7,7700,￥2898,¥3189
Intel 酷睿i7 11700KF,Intel,酷睿i7,11700KF,￥2899,
Intel Xeon E 2244G,Intel,Xeon E,2244G,￥2899,
AMD Ryzen 9 3900X,AMD,Ryzen 9,3900X,￥2939,
Intel 酷睿i9 10900X,Intel,酷睿i9,10900X,￥2980,¥3799
AMD Ryzen 7 3800XT,AMD,Ryzen 7,3800XT,￥2999,
Intel 酷睿 i7 13790F,Intel,酷睿 i7,13790F,￥2999,¥2299
AMD Ryzen 7 7700X,AMD,Ryzen 7,7700X,￥2999,
Intel 酷睿 i7 13700,Intel,酷睿 i7,13700,￥3049,¥3099
Intel 酷睿i9 9900K,Intel,酷睿i9,9900K,￥3049,
Intel Xeon E 2236,Intel,Xeon E,2236,￥3080,
Intel 酷睿i9 10900F,Intel,酷睿i9,10900F,￥3099,
AMD Ryzen 7 7800X3D,AMD,Ryzen 7,7800X3D,￥3099,¥2599
Intel 酷睿 Ultra 7 265K,Intel,,Intel 酷睿 Ultra 7 265K,￥3199,¥2399
AMD Ryzen 9 7900,AMD,Ryzen 9,7900,￥3199,
